contract,method,strategy,instrument_ms,compile_ms,deploy_tgas,deploy_ms_per_tgas,exec_ns,exec_tgas,ms_per_tgas,fuel,ms_per_mfuel,note
intents.near.wasm,execute_intents,winch-fw-inline,62.33,80.59,86.8,1.647,1500574,3.958,0.379,,,
intents.near.wasm,execute_intents,winch-fw-subcheck,58.70,75.73,86.8,1.549,1493031,3.958,0.377,,,
intents.near.wasm,execute_intents,winch-fw-local,58.50,64.90,86.8,1.422,1146836,3.958,0.290,,,
intents.near.wasm,execute_intents,winch-fw,46.73,111.10,86.8,1.819,1678523,3.958,0.424,,,
intents.near.wasm,execute_intents,winch-fw-host,46.44,45.08,86.8,1.055,6115640,3.958,1.545,,,
intents.near.wasm,execute_intents,winch-ng,9.01,30.21,86.8,0.452,550853,,,,,
intents.near.wasm,execute_intents,cranelift-fw-inline,56.20,220.98,86.8,3.195,994145,3.958,0.251,,,
intents.near.wasm,execute_intents,cranelift-fw-subcheck,56.21,189.60,86.8,2.833,1221062,3.958,0.308,,,
intents.near.wasm,execute_intents,cranelift-fw-local,58.73,260.00,86.8,3.674,914954,3.958,0.231,,,
intents.near.wasm,execute_intents,cranelift-fw,46.58,132.83,86.8,2.068,1758603,3.958,0.444,,,
intents.near.wasm,execute_intents,cranelift-fw-host,46.44,102.16,86.8,1.713,6823051,3.958,1.724,,,
intents.near.wasm,execute_intents,cranelift-fw-wt-inlined,46.32,216.46,86.8,3.029,1264856,3.958,0.320,,,
intents.near.wasm,execute_intents,cranelift-ng,9.00,72.66,86.8,0.941,551503,,,,,
intents.near.wasm,execute_intents,cranelift-fuel,9.13,87.21,86.8,1.110,654860,,,1957936,0.334,
intents.near.wasm,execute_intents,near-vm,9.00,25.88,86.8,0.402,1107400,3.958,0.280,,,
intents.near.wasm,execute_intents,near-vm-ng,9.12,23.37,86.8,0.374,707583,,,,,
token.sweat.wasm,record_batch,winch-fw-inline,8.01,10.10,14.1,1.282,1197422,7.627,0.157,,,
token.sweat.wasm,record_batch,winch-fw-subcheck,8.00,8.98,14.1,1.202,1283350,7.627,0.168,,,
token.sweat.wasm,record_batch,winch-fw-local,8.25,9.53,14.1,1.258,1102035,7.627,0.144,,,
token.sweat.wasm,record_batch,winch-fw,6.73,10.80,14.1,1.241,1690121,7.627,0.222,,,
token.sweat.wasm,record_batch,winch-fw-host,6.68,7.29,14.1,0.989,6199179,7.627,0.813,,,
token.sweat.wasm,record_batch,winch-ng,1.35,6.03,14.1,0.522,586108,,,,,
token.sweat.wasm,record_batch,cranelift-fw-inline,7.77,29.46,14.1,2.635,962634,7.627,0.126,,,
token.sweat.wasm,record_batch,cranelift-fw-subcheck,8.07,29.06,14.1,2.628,1113466,7.627,0.146,,,
token.sweat.wasm,record_batch,cranelift-fw-local,8.26,30.56,14.1,2.748,919417,7.627,0.121,,,
token.sweat.wasm,record_batch,cranelift-fw,6.73,20.16,14.1,1.903,1742995,7.627,0.229,,,
token.sweat.wasm,record_batch,cranelift-fw-host,6.75,17.13,14.1,1.690,7101467,7.627,0.931,,,
token.sweat.wasm,record_batch,cranelift-fw-wt-inlined,6.78,51.60,14.1,4.131,1130707,7.627,0.148,,,
token.sweat.wasm,record_batch,cranelift-ng,1.34,11.76,14.1,0.927,475285,,,,,
token.sweat.wasm,record_batch,cranelift-fuel,1.36,15.63,14.1,1.202,660678,,,1537639,0.430,
token.sweat.wasm,record_batch,near-vm,1.35,4.62,14.1,0.422,1013336,7.627,0.133,,,
token.sweat.wasm,record_batch,near-vm-ng,1.36,4.19,14.1,0.392,579325,,,,,
many-blocks-4000.wasm,main,winch-fw-inline,1.62,16.37,1.7,10.358,104192,0.010,10.546,,,
many-blocks-4000.wasm,main,winch-fw-subcheck,1.61,15.84,1.7,10.046,99756,0.010,10.097,,,
many-blocks-4000.wasm,main,winch-fw-local,1.67,16.49,1.7,10.458,87770,0.010,8.884,,,
many-blocks-4000.wasm,main,winch-fw,1.12,5.83,1.7,4.001,70047,0.010,7.090,,,
many-blocks-4000.wasm,main,winch-fw-host,1.09,6.35,1.7,4.283,186939,0.010,18.922,,,
many-blocks-4000.wasm,main,winch-ng,0.18,1.65,1.7,1.053,14913,,,,,
many-blocks-4000.wasm,main,cranelift-fw-inline,1.55,90.47,1.7,52.978,32131,0.010,3.252,,,
many-blocks-4000.wasm,main,cranelift-fw-subcheck,1.66,87.45,1.7,51.303,36353,0.010,3.680,,,
many-blocks-4000.wasm,main,cranelift-fw-local,1.76,1585.01,1.7,913.533,37117,0.010,3.757,,,
many-blocks-4000.wasm,main,cranelift-fw,1.16,24.49,1.7,14.765,64654,0.010,6.544,,,
many-blocks-4000.wasm,main,cranelift-fw-host,1.12,33.10,1.7,19.704,189134,0.010,19.144,,,
many-blocks-4000.wasm,main,cranelift-fw-wt-inlined,1.12,24.65,1.7,14.834,64953,0.010,6.574,,,
many-blocks-4000.wasm,main,cranelift-ng,0.18,10.65,1.7,6.232,14461,,,,,
many-blocks-4000.wasm,main,cranelift-fuel,0.18,15.24,1.7,8.877,15366,,,8001,1.920,
many-blocks-4000.wasm,main,near-vm,0.17,1.57,1.7,1.003,29370,0.010,2.973,,,
many-blocks-4000.wasm,main,near-vm-ng,0.19,0.86,1.7,0.602,9002,,,,,
